S,landscape
2,1
1.4,1
1.8,1
1.6,1
1.6,1
1.6,1
1.4,1
1.2,1
1.2,1
1.8,1
1.2,1
1.6,1
1.6,1
1.6,1
1.4,1
1.4,1
1.4,1
1.4,1
1.8,1
1.4,1
1.2,1
1.4,1
1,1
1.2,1
1.4,1
1,1
1.2,1
1.4,1
1,1
1.2,1
1.4,1
1.2,1
1,1
1.2,1
1.4,1
1,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1,1
1,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1,1
1.6,1
1.6,1
1.2,1
1.6,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1.4,1
1.6,1
1,1
1.8,1
1,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.6,1
1.6,1
1.6,1
1.4,1
1.4,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1.6,1
1.4,1
1.2,1
1.6,1
1.2,1
1.4,1
1.6,1
1.2,1
1.6,1
1.6,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1,1
1.6,1
1.6,1
1,1
1.2,1
1.2,1
1.4,1
1,1
1.2,1
1,1
1.8,1
1.2,1
1,1
1,1
1.4,1
1.8,1
1.8,1
1.2,1
1.2,1
1.6,1
1,1
1,1
1.6,1
1.2,1
1.4,1
1.8,1
1.2,1
1.6,1
1.6,1
1.2,1
1.2,1
1,1
1.2,1
1.4,1
1.2,1
1.6,1
1,1
1.4,1
1.2,1
1,1
1,1
1.4,1
1.2,1
1.8,1
1.4,1
1.4,1
1.2,1
1,1
1,1
1.4,1
1.2,1
1,1
1.2,1
1.2,1
1.4,1
1.2,1
1,1
1.4,1
1.2,1
1.2,1
1.6,1
1.2,1
1.2,1
1.2,1
1,1
1.6,1
1.2,1
1.6,1
1.4,1
1.2,1
1,1
1.8,1
1.2,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.6,1
1,1
1.4,1
1.6,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1,1
1.4,1
1.2,1
1,1
1.2,1
1,1
1.4,1
1.2,1
1.4,1
1,1
1.2,1
1.2,1
1.2,1
1,1
1.6,1
1.6,1
1.4,1
1.8,1
1,1
1,1
1,1
1.2,1
1.4,1
1.2,1
1.4,1
1,1
1.2,1
1,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1.2,1
1,1
1.4,1
1.4,1
1,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.8,1
1,1
1,1
1.6,1
1.4,1
1,1
1.2,1
1.6,1
1.4,1
1.2,1
1.8,1
2.2,1
1.4,1
1.2,1
1.6,1
1.6,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1.2,1
1.6,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1.4,1
1.4,1
1.2,1
1.2,1
1,1
1.2,1
1.6,1
1.8,1
1.4,1
1.2,1
1.6,1
1.2,1
1,1
1,1
1.6,1
1.4,1
1,1
1.4,1
1,1
1.2,1
1.6,1
1.2,1
1.4,1
1.6,1
1.2,1
1.6,1
1.8,1
1,1
1.6,1
1.4,1
1.6,1
1.6,1
1.8,1
1.4,1
1.2,1
1.6,1
1.4,1
1.4,1
1.8,1
1.6,1
1.4,1
1.4,1
1.2,1
0.8,1
1.8,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.6,1
1.4,1
1.4,1
1.4,1
1.6,1
1.4,1
1.2,1
1.2,1
1.6,1
1.2,1
1,1
1.6,1
1.2,1
1.2,1
1.2,1
1.2,1
1.6,1
1.2,1
1.6,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1,1
1.2,1
1.2,1
1.4,1
1.6,1
1,1
1,1
1,1
1.2,1
1.2,1
1.2,1
1,1
1.6,1
1.6,1
1.4,1
1.2,1
1.6,1
1,1
1.2,1
1.4,1
1.2,1
1.2,1
1.8,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.6,1
1.6,1
1.4,1
2,1
1.4,1
1.2,1
1.2,1
1.8,1
1.4,1
1.6,1
1.4,1
1.2,1
1.2,1
1,1
1.2,1
1.4,1
1.4,1
1,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1.4,1
1.2,1
1.6,1
1.2,1
1.2,1
1.4,1
1.6,1
1.2,1
1.8,1
1,1
1.4,1
1.2,1
1.2,1
1.8,1
1,1
1.4,1
1.2,1
1.6,1
1.2,1
1.4,1
1.6,1
1.6,1
1,1
1.6,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.6,1
1.2,1
1,1
1.6,1
1.6,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.6,1
1.2,1
1.2,1
1.6,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1.6,1
1.6,1
1.2,1
1.6,1
1,1
1,1
1,1
1.2,1
1.4,1
1,1
1.2,1
1.8,1
1.4,1
1.6,1
1.6,1
1.4,1
1,1
1.4,1
1,1
1.2,1
1,1
1.2,1
1,1
1.4,1
1.2,1
1.6,1
1.2,1
1.4,1
1,1
1.2,1
1.4,1
1,1
1,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1,1
1.2,1
1,1
1.6,1
1.4,1
1.2,1
1.6,1
1.4,1
1,1
1.2,1
1.2,1
1.6,1
1.6,1
1.2,1
1.2,1
1.2,1
1.4,1
1.2,1
1.4,1
1,1
1,1
2.2,1
1.4,1
1.4,1
1.4,1
1.8,1
1.6,1
1.6,1
1.8,1
1.2,1
1.8,1
1.2,1
1.2,1
1,1
1.6,1
1.2,1
1.2,1
1.2,1
1.4,1
1,1
1.6,1
1.6,1
1.2,1
1,1
1.4,1
1.2,1
1.4,1
1.6,1
1.4,1
1.4,1
1.6,1
1.2,1
1,1
1,1
1.2,1
1,1
1,1
1.2,1
1.4,1
1,1
1,1
1.6,1
1.2,1
1.2,1
1.4,1
1.4,1
1.2,1
1,1
1.4,1
1,1
1.4,1
1.2,1
1.4,1
1.6,1
1.4,1
1,1
1.2,1
1.8,1
1.2,1
1.4,1
1.4,1
1.2,1
1,1
1.8,1
1.6,1
1.6,1
1.2,1
1.2,1
1.6,1
1.4,1
1.2,1
1,1
1.4,1
1.2,1
1.2,1
1,1
1,1
1.2,1
1.2,1
1,1
1,1
1.6,1
1.6,1
1.2,1
1.2,1
1,1
1,1
1.2,1
1.6,1
1.4,1
1.2,1
1.2,1
1.2,1
1,1
1,1
1,1
1.2,1
1.6,1
1.2,1
1,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1,1
1,1
1,1
1.4,1
1.6,1
1,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.6,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1,1
1,1
1.6,1
0.8,1
1.4,1
1,1
1.2,1
1.4,1
1.2,1
1,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.6,1
1,1
1,1
1.2,1
1.6,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1.8,1
1,1
1.2,1
1.6,1
1.2,1
1.4,1
1.6,1
1,1
1.4,1
1.6,1
1.2,1
1.2,1
0.8,1
1.2,1
1.6,1
1.2,1
1.2,1
1.4,1
1.4,1
1,1
1.2,1
1.2,1
1,1
1,1
1.4,1
1.2,1
1.2,1
1.8,1
1.4,1
1,1
1.8,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.6,1
1.2,1
1.6,1
1.6,1
1.6,1
1.2,1
1.8,1
1.4,1
1.6,1
1.2,1
1.2,1
1.4,1
1,1
1.4,1
1.6,1
1,1
1.4,1
1,1
1.2,1
1.4,1
1.4,1
1.4,1
2,1
1.4,1
1.4,1
1.2,1
1.6,1
1,1
1.6,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.2,1
1.2,1
1.6,1
1,1
1.4,1
1.8,1
1.6,1
1,1
1.4,1
1.6,1
1.4,1
1.2,1
1,1
1.2,1
1.6,1
1.6,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1.8,1
1.2,1
1.6,1
1.6,1
1.4,1
1.4,1
1.4,1
1.4,1
1.8,1
1,1
1,1
1,1
1.8,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1,1
1.8,1
1.4,1
1.6,1
1,1
1.2,1
1.4,1
1.8,1
1,1
1.4,1
1.6,1
1.4,1
1,1
2,1
1.2,1
1.6,1
1.6,1
1.8,1
1.6,1
1.6,1
1.4,1
1.2,1
1.4,1
1.4,1
1.6,1
1.2,1
1.2,1
1.2,1
1.4,1
1.4,1
1.6,1
1.8,1
1.2,1
1.4,1
1.2,1
1.6,1
1.2,1
1.8,1
1.6,1
1.2,1
1.8,1
1.2,1
1,1
1.6,1
1.6,1
1.6,1
1.6,1
1.2,1
1.4,1
1.4,1
1.4,1
1.6,1
1.2,1
1.6,1
1.4,1
1.6,1
1.2,1
1.4,1
1,1
1.6,1
1.6,1
1.4,1
1.2,1
1.6,1
1.2,1
1.6,1
1.4,1
1.8,1
1.2,1
1,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1,1
1.4,1
1.4,1
1.6,1
1.2,1
1.6,1
1.2,1
1.2,1
1.4,1
1.2,1
1.6,1
1.2,1
1,1
1.2,1
1.2,1
1.6,1
1.2,1
2,1
1.2,1
1.4,1
1,1
1.2,1
1.6,1
1.4,1
1.4,1
1.4,1
1.8,1
1.6,1
1.6,1
1,1
1,1
1.6,1
1,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.4,1
1,1
1.4,1
1,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.6,1
1,1
1.4,1
1.4,1
1.2,1
1,1
1.2,1
1,1
1,1
1.2,1
1.2,1
1,1
1.2,1
1.8,1
1.4,1
1,1
1.8,1
1,1
1.4,1
1.4,1
1.2,1
1.2,1
1.6,1
1.6,1
1.4,1
1.6,1
1.4,1
1.2,1
1.4,1
1.6,1
1.6,1
1.2,1
1,1
1.2,1
1,1
1.4,1
1.6,1
1.2,1
1.4,1
1.6,1
1.6,1
1.4,1
1.2,1
1.6,1
1.6,1
1.6,1
1.4,1
1.4,1
1,1
1.6,1
1.6,1
1.4,1
1.4,1
2,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1.6,1
1.2,1
1.4,1
1.4,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1.4,1
1,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
2,1
1,1
1.4,1
1.4,1
1.4,1
1.2,1
1.6,1
1,1
1.2,1
1.8,1
1.6,1
1.2,1
1.6,1
1.8,1
1.6,1
1.8,1
1.4,1
1.2,1
1.6,1
1.4,1
1.2,1
1.6,1
1.4,1
1.6,1
1.4,1
1,1
1.4,1
1,1
1.2,1
1.4,1
1.2,1
0.8,1
1.2,1
1.4,1
1.6,1
1,1
1.2,1
1.2,1
1.2,1
1.6,1
1.2,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.6,1
1.8,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1,1
1.2,1
1,1
1.2,1
1,1
1.4,1
1.2,1
1.2,1
1.6,1
1.8,1
1.4,1
1.4,1
1.4,1
1.4,1
1.8,1
1,1
1.2,1
1,1
1,1
1.4,1
1.4,1
1.6,1
1.6,1
1.8,1
1.4,1
1.6,1
1.6,1
1,1
1.4,1
1.2,1
1.2,1
1,1
1.6,1
1.2,1
1.6,1
1,1
1.4,1
1.6,1
1.4,1
1.2,1
1.6,1
1.2,1
1.2,1
1.6,1
1.4,1
1.2,1
1.2,1
1.2,1
1,1
1.6,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.6,1
1.4,1
1.8,1
1.6,1
1,1
1.6,1
1,1
1,1
1,1
1.2,1
1,1
1.6,1
1,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1.2,1
1.2,1
1.6,1
1.2,1
1.6,1
1.6,1
1.4,1
1.6,1
1.4,1
1.6,1
1,1
1.2,1
1.6,1
1.4,1
1.8,1
1.4,1
1.2,1
1.4,1
1.8,1
1.6,1
1.4,1
1.4,1
1,1
1.6,1
1.2,1
1.8,1
1.4,1
1.2,1
1.8,1
1.2,1
1.4,1
1.8,1
0.8,1
1.8,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1,1
1.2,1
1,1
1,1
1.2,1
1,1
1.4,1
1.2,1
1.4,1
1.2,1
2,1
1.2,1
1.2,1
1.6,1
1.2,1
1.2,1
1.2,1
1.6,1
1,1
1.2,1
1,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1,1
1,1
1.4,1
1.2,1
1.2,1
1,1
1.4,1
1.4,1
1.8,1
1.6,1
1.4,1
1.6,1
1.2,1
1.4,1
1.2,1
1.2,1
1.2,1
1,1
1.2,1
1.2,1
1.8,1
1.2,1
1,1
1.2,1
1.6,1
1.4,1
1.6,1
1.2,1
1.4,1
1.4,1
1.2,1
1.6,1
1.4,1
1.2,1
1.2,1
1,1
1.2,1
1.2,1
1.2,1
1,1
1.2,1
1.2,1
1.6,1
1.4,1
1.4,1
1.2,1
1,1
1.6,1
1,1
1.8,1
1.4,1
1.4,1
1.4,1
1.6,1
1.2,1
1.4,1
1.4,1
1.6,1
1.6,1
1.4,1
1.2,1
1.2,1
1.6,1
1.6,1
1.2,1
1.4,1
1,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1.8,1
1.4,1
1.4,1
1.6,1
1.2,1
1.4,1
1.4,1
1.6,1
1.6,1
1.2,1
1.2,1
1,1
1.4,1
1.4,1
1.4,1
1.2,1
1.6,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1,1
1,1
1.2,1
1.8,1
1.2,1
1.2,1
1,1
0.8,1
1.2,1
1.2,1
1.6,1
1,1
1.4,1
1.8,1
1.4,1
1.2,1
1.6,1
1.4,1
1.2,1
1.4,1
1,1
1.4,1
1.2,1
1.6,1
1.2,1
1.4,1
1.2,1
1.4,1
1.8,1
1,1
1,1
1.4,1
1.4,1
1.6,1
1.2,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.6,1
1.6,1
1.2,1
1.8,1
1.2,1
1.2,1
2,1
1.6,1
1.2,1
1.8,1
1.2,1
1.2,1
1.4,1
1,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.4,1
1,1
1.4,1
1.6,1
1.4,1
1.4,1
1.2,1
1.2,1
1.2,1
1.4,1
1.6,1
1.6,1
1.2,1
1.2,1
1.6,1
1.8,1
1.6,1
1.6,1
1.6,1
1.6,1
1.4,1
1.2,1
1.2,1
1,1
1.6,1
1.6,1
1.4,1
1,1
1.4,1
1.6,1
1.4,1
1.6,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.4,1
1.8,1
1.4,1
1.8,1
1.6,1
1.6,1
1,1
1,1
1.4,1
2,1
1.4,1
1.2,1
1.6,1
1.6,1
1.6,1
1.4,1
1.4,1
1.6,1
1,1
1.8,1
1.2,1
1.4,1
1.6,1
1.4,1
1.2,1
1,1
1.4,1
1,1
1.2,1
1.2,1
1,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1.4,1
1.2,1
1.4,1
1.6,1
1.4,1
1.2,1
1.4,1
1.6,1
1.4,1
1.4,1
1.8,1
1.6,1
1.4,1
1.2,1
1.4,1
1,1
1.4,1
1.8,1
1.6,1
1.2,1
1.4,1
1.6,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.2,1
1.6,1
1.4,1
1.6,1
1.4,1
1.4,1
1.4,1
1,1
1.4,1
1.2,1
1.6,1
1.4,1
1.6,1
1.6,1
1.2,1
1.8,1
1.2,1
1.2,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1.2,1
1.2,1
1.2,1
1,1
1.2,1
1,1
1.2,1
1.2,1
1,1
1.2,1
1.6,1
1.4,1
1,1
1.2,1
1.6,1
1.8,1
1,1
1.6,1
1.4,1
1.8,1
1.6,1
1.4,1
0.8,1
1.4,1
1.6,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1.8,1
1,1
1.2,1
1.4,1
1.4,1
1,1
1.2,1
1.8,1
1.2,1
1,1
1.4,1
1.8,1
1,1
1.6,1
1.4,1
1.2,1
1.4,1
1.8,1
1.4,1
1.4,1
1.2,1
1.6,1
1.4,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1.4,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1.2,1
1,1
1.6,1
1.6,1
1.4,1
1.2,1
1.6,1
1.2,1
1,1
1,1
1,1
1,1
1.2,1
1.4,1
1.6,1
1,1
1,1
1.2,1
1.6,1
1.2,1
1.8,1
1.6,1
1.6,1
1,1
1.2,1
1.2,1
1.6,1
1.4,1
1.4,1
1.4,1
1.6,1
1.4,1
1.2,1
1.2,1
1,1
1.2,1
1.4,1
1.6,1
1.4,1
1.8,1
1.2,1
1.4,1
1.4,1
1.2,1
1.4,1
1.4,1
1,1
1.4,1
1.8,1
1.4,1
1.6,1
1.2,1
1.2,1
1.4,1
1.4,1
1,1
1.6,1
1.4,1
1.2,1
1.8,1
1.2,1
1.4,1
1.2,1
1,1
1,1
1.2,1
1.2,1
1.2,1
1.4,1
1.2,1
1,1
1.2,1
1,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1.6,1
1.4,1
1,1
1.4,1
1.6,1
1.2,1
1.4,1
1.2,1
1.2,1
1,1
1.6,1
1.2,1
1.2,1
1.8,1
1.4,1
2,1
1.2,1
1.4,1
1.2,1
1.4,1
1.2,1
1.2,1
1.4,1
1.6,1
1.4,1
1.4,1
1.4,1
1,1
1.6,1
1.4,1
1,1
1.2,1
1.6,1
1.2,1
1.4,1
1.6,1
1.4,1
1.8,1
1.2,1
1,1
1,1
1,1
1.2,1
1,1
1.2,1
1.4,1
1.6,1
1.8,1
1,1
1.8,1
1.6,1
2,1
1,1
1.2,1
1.4,1
1.2,1
1.6,1
1.6,1
1.4,1
1.2,1
1.4,1
1.2,1
1,1
1.4,1
1.4,1
1.8,1
1.4,1
1.2,1
1.6,1
1.2,1
1.6,1
1.4,1
1.4,1
1.2,1
1.8,1
1.4,1
1.6,1
1.6,1
1.4,1
1.2,1
1.4,1
1,1
1.4,1
1.2,1
1.2,1
1.6,1
1.4,1
1.6,1
1.2,1
1,1
1.6,1
1.6,1
1.2,1
1.6,1
1.2,1
1.2,1
1.6,1
1.2,1
1.8,1
1.6,1
1.2,1
1.4,1
1,1
1.4,1
1.4,1
1.6,1
1,1
1,1
1.4,1
1,1
1.2,1
1.2,1
1.6,1
1.6,1
1.2,1
1,1
1.2,1
1.2,1
1.4,1
1.6,1
1,1
1.6,1
1.6,1
1.2,1
1.4,1
1.8,1
1.2,1
1,1
1.8,1
1.6,1
1.6,1
1.2,1
1.2,1
1.4,1
1.6,1
1,1
0.8,1
1.2,1
1.4,1
1.6,1
1,1
1.4,1
1.2,1
1.2,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1.4,1
1.4,1
1.6,1
1.4,1
1,1
1.4,1
1.4,1
1.8,1
1,1
1.4,1
1,1
1.6,1
1.4,1
1.2,1
2,1
1.2,1
1.2,1
1,1
1.2,1
1.6,1
1.4,1
1.2,1
1.2,1
1.4,1
1.4,1
1.4,1
1,1
1.4,1
1,1
1.4,1
1.2,1
1.6,1
1.2,1
1.2,1
1.6,1
1.6,1
1,1
1.8,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1.4,1
1.8,1
1,1
1.2,1
1,1
1.2,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.4,1
1.2,1
1,1
1.2,1
1.4,1
1.2,1
1.6,1
1.4,1
1.4,1
1.8,1
1.6,1
1.4,1
1.6,1
1.4,1
1.8,1
1.2,1
1.6,1
1,1
1,1
1.6,1
1.4,1
1.6,1
1.4,1
