S,landscape
1.8,1
1.6,1
1.6,1
1.8,1
2.2,1
1.8,1
1.4,1
1.8,1
2.4,1
2,1
1.4,1
1.8,1
1.6,1
1.8,1
2.2,1
2,1
1.4,1
2.2,1
1.8,1
2.2,1
2.2,1
2.2,1
2,1
2.2,1
2.2,1
2,1
1.6,1
1.6,1
1.4,1
1.6,1
2,1
1.4,1
2,1
2,1
1.6,1
1.6,1
2.4,1
2.4,1
2.4,1
2.2,1
1.8,1
2,1
1.6,1
1.6,1
2,1
2,1
1.8,1
2,1
1.8,1
2,1
2,1
2.2,1
2.4,1
1.8,1
2,1
2,1
1.6,1
2,1
2.2,1
2,1
2.4,1
2,1
1.8,1
2,1
2,1
2,1
2,1
1.8,1
2.4,1
2.2,1
1.2,1
1.8,1
1.8,1
2.2,1
2.4,1
1.6,1
1.8,1
2.4,1
1.4,1
2.2,1
1.8,1
2.2,1
2.4,1
2,1
1.6,1
1.6,1
2.2,1
1.4,1
1.8,1
1.6,1
1.8,1
1.8,1
1.6,1
1.6,1
1.2,1
1.6,1
1.4,1
1.4,1
1.4,1
1.6,1
1.2,1
2,1
2.2,1
2.2,1
2.2,1
2,1
2,1
2.2,1
2,1
1.4,1
2,1
2,1
2.2,1
1.8,1
2.4,1
2,1
2.2,1
1.6,1
2,1
1.8,1
2,1
1.8,1
1.8,1
2,1
2.2,1
2.2,1
2,1
1.6,1
2,1
1.8,1
1.8,1
1.6,1
2,1
1.8,1
2.2,1
2,1
2,1
1.8,1
1.4,1
1.8,1
2.4,1
2.2,1
1.8,1
2,1
2.4,1
2,1
1.8,1
2,1
2,1
2.2,1
2,1
2.2,1
1.6,1
2.2,1
1.6,1
1.8,1
1.8,1
1.6,1
2,1
2,1
2,1
1.6,1
2.2,1
1.8,1
2,1
2,1
1.8,1
1.8,1
2.2,1
2,1
1.6,1
2,1
2.2,1
2,1
2.4,1
2.2,1
1.4,1
2,1
1.8,1
2,1
2,1
1.8,1
2,1
1.8,1
1.8,1
2.2,1
1.8,1
2.2,1
1.6,1
1.8,1
2.2,1
1.8,1
2,1
1.8,1
1.6,1
1.6,1
1.8,1
2,1
2,1
1.6,1
2,1
1.6,1
1.4,1
1.6,1
1.6,1
2.2,1
2,1
2.2,1
1.6,1
1.8,1
2.4,1
1.8,1
1.8,1
1.8,1
2,1
2.2,1
1.8,1
1.2,1
2.2,1
2.4,1
2,1
2,1
1.8,1
2,1
1.6,1
2,1
1.6,1
1.6,1
1.6,1
1.8,1
2.4,1
1.6,1
2.4,1
1.8,1
2.2,1
2.4,1
2.2,1
2,1
1.6,1
1.8,1
2,1
2,1
1.8,1
2.6,1
2.4,1
2,1
1.6,1
1.6,1
1.8,1
1.8,1
1.6,1
1.8,1
2.2,1
2.2,1
2,1
2.4,1
1.8,1
2.2,1
1.6,1
1.8,1
1.4,1
1,1
1.4,1
1.6,1
2.6,1
1.8,1
1.6,1
1.2,1
1.4,1
2,1
2,1
2.2,1
2,1
2,1
1.6,1
2,1
1.8,1
2,1
2,1
2.8,1
1.8,1
2.4,1
1.6,1
1.6,1
2.2,1
2.2,1
2,1
1.6,1
1.8,1
2.2,1
2.4,1
1.8,1
2,1
1.8,1
2.4,1
1.8,1
2,1
2.2,1
2,1
2,1
1.8,1
2,1
2.2,1
1.8,1
1.4,1
1.8,1
2,1
1.4,1
1.8,1
1.8,1
2,1
1.8,1
2.2,1
1.8,1
1.8,1
1.8,1
2,1
2,1
2.2,1
1.8,1
1.8,1
2.2,1
2.4,1
2.2,1
1.8,1
2.2,1
1.2,1
1.8,1
2,1
1.8,1
1.8,1
2,1
2.2,1
2,1
1.6,1
1.8,1
2.4,1
2.2,1
2.4,1
2.4,1
2.4,1
2,1
2.4,1
2.2,1
2,1
1.8,1
1.8,1
1.8,1
1.6,1
1.2,1
1.6,1
1.6,1
2,1
1.6,1
1.8,1
1.6,1
1.6,1
2,1
1.6,1
2,1
1.6,1
1.4,1
2,1
2.2,1
2.4,1
1.8,1
2.2,1
2.2,1
2,1
2.2,1
1.4,1
1.8,1
2.4,1
1.8,1
2,1
1.8,1
1.8,1
2,1
1.6,1
2,1
2,1
2,1
1.6,1
2,1
2,1
2,1
1.8,1
2.2,1
2.6,1
2.2,1
1.4,1
1.2,1
1.6,1
1.2,1
1.6,1
1.6,1
2,1
2.2,1
2,1
2,1
2.2,1
2.6,1
1.8,1
2.4,1
2,1
1.8,1
2.2,1
1.6,1
2,1
2.2,1
2.2,1
2,1
1.8,1
1.4,1
1.6,1
2,1
1.8,1
1.2,1
1.8,1
2,1
2.6,1
2,1
2,1
2,1
2.4,1
2,1
2,1
2,1
2,1
2,1
1.4,1
2,1
2,1
1.8,1
2,1
1.8,1
2,1
2,1
2.2,1
2,1
2,1
1.8,1
1.8,1
1.8,1
2.2,1
1.8,1
2,1
1.8,1
1.8,1
2,1
2.4,1
2,1
2.2,1
2.2,1
1.8,1
1.8,1
1.6,1
1.4,1
1.6,1
1.4,1
2,1
1.8,1
1.8,1
2.2,1
2,1
2.2,1
2.6,1
1.8,1
2.2,1
1.8,1
2.4,1
1.6,1
2,1
1.6,1
1.8,1
2,1
1.8,1
1.8,1
1.8,1
1.6,1
1.4,1
2,1
2,1
1.4,1
2.2,1
1.8,1
1.6,1
2,1
1.8,1
2.2,1
1.6,1
2.2,1
1.8,1
2,1
2,1
2.2,1
1.4,1
1.8,1
1.8,1
2.2,1
2,1
1.8,1
1.8,1
2.2,1
2,1
1.8,1
2.4,1
1.8,1
1.8,1
1.8,1
2.2,1
1.8,1
2.2,1
2,1
2,1
2,1
2.2,1
2,1
1.8,1
1.6,1
1.8,1
1.6,1
1.6,1
1.4,1
1.4,1
2,1
2,1
1.6,1
1.8,1
2.2,1
2.2,1
2.2,1
1.6,1
1.8,1
1.8,1
2.4,1
1.6,1
2,1
2,1
1.6,1
2.2,1
2.4,1
2.2,1
2,1
1.4,1
1.8,1
1.4,1
2,1
1.8,1
2.2,1
2.4,1
1.8,1
2,1
2,1
2.4,1
2.2,1
2.2,1
2.2,1
2,1
1.8,1
1.4,1
1.6,1
1.6,1
1.6,1
2.2,1
1.8,1
2.2,1
2,1
1.8,1
1.6,1
1.8,1
1.8,1
2.2,1
2,1
2.2,1
2,1
2,1
2,1
1.6,1
2.4,1
2,1
2.2,1
1.8,1
2.4,1
2,1
1.4,1
1.6,1
2,1
2,1
1.8,1
2.2,1
2.2,1
2,1
1.6,1
2.4,1
2,1
2,1
2.2,1
2,1
1.8,1
1.8,1
2,1
2.8,1
2.2,1
2,1
2,1
1.8,1
1.8,1
1.4,1
2.2,1
1.4,1
1.6,1
1.4,1
2.2,1
2,1
2,1
2,1
2.2,1
2.2,1
2.4,1
2,1
2.4,1
2,1
2,1
2,1
1.8,1
1.8,1
2.2,1
2,1
2.2,1
1.8,1
2.2,1
1.8,1
1.8,1
2.6,1
2,1
2,1
2,1
2.2,1
2.6,1
2,1
1.6,1
1.8,1
1.6,1
2,1
1.8,1
1.8,1
1.8,1
2,1
1.8,1
1.8,1
2.2,1
2.4,1
2,1
1.8,1
2.2,1
1.8,1
1.8,1
2.2,1
2.2,1
2,1
2.2,1
2.4,1
2.2,1
1.8,1
2.2,1
1.8,1
2,1
2.2,1
2,1
1.8,1
2.2,1
1.8,1
2.2,1
2,1
1.8,1
1.6,1
1.6,1
2.2,1
1.6,1
1.8,1
1.8,1
2.2,1
2,1
1.8,1
1.8,1
1.8,1
2.2,1
2,1
2.2,1
1.8,1
2,1
2,1
1.4,1
1.8,1
2.4,1
2.2,1
1.6,1
1.6,1
1.8,1
2.2,1
1.8,1
2.4,1
1.8,1
1.8,1
2,1
2.2,1
2,1
2.4,1
2,1
2.2,1
2,1
1.8,1
1.8,1
2,1
1.6,1
1.6,1
1.8,1
1.6,1
1.8,1
1.8,1
1.8,1
2,1
2.4,1
1.8,1
2.6,1
2.2,1
1.6,1
1.4,1
2.4,1
2.4,1
1.6,1
2,1
2.2,1
1.8,1
2.2,1
1.8,1
2,1
2,1
1.6,1
1.4,1
2.2,1
1.8,1
2.4,1
1.6,1
1.8,1
1,1
2,1
2.2,1
1.4,1
1.6,1
2.2,1
2.2,1
1.8,1
2,1
1.8,1
2.2,1
2,1
2,1
2,1
2.2,1
2.2,1
2.2,1
2,1
2.4,1
1.8,1
1.6,1
1.6,1
1.8,1
1.8,1
1.8,1
2.2,1
2.2,1
2.4,1
2.2,1
1.8,1
2.4,1
1.8,1
2.2,1
2,1
1.8,1
1.8,1
1.4,1
1.8,1
1.8,1
1.8,1
2.4,1
1.6,1
2.2,1
1.6,1
1.4,1
2,1
2.4,1
2.4,1
1.8,1
2,1
1.6,1
1.8,1
1.8,1
1.2,1
1.6,1
1.8,1
1.6,1
1.4,1
1.8,1
1.6,1
1.2,1
1.6,1
2.2,1
1.8,1
2.2,1
2.6,1
2,1
2,1
2.4,1
1.6,1
2.4,1
2.2,1
1.8,1
2,1
2,1
2,1
1.8,1
2,1
2.4,1
2.2,1
2.2,1
1.6,1
2.2,1
2,1
2.4,1
1.8,1
1.8,1
2,1
2.2,1
2,1
1.8,1
2.2,1
1.8,1
2.2,1
2,1
1.8,1
1.8,1
2,1
2,1
1.6,1
1.4,1
1.8,1
1.4,1
1.6,1
2,1
2,1
2,1
2.2,1
2,1
1.8,1
2,1
2,1
2.2,1
2.6,1
2.4,1
1.8,1
2,1
1.8,1
1.8,1
2,1
1.8,1
1.4,1
2.2,1
2,1
1.4,1
1.8,1
2,1
1.8,1
2.2,1
2,1
2.4,1
2.2,1
1.6,1
2.2,1
1.8,1
2.2,1
1.6,1
2.6,1
2.4,1
1.8,1
1.8,1
2.2,1
1.8,1
2.2,1
2.2,1
1.6,1
1.8,1
2.2,1
2.4,1
2,1
2.2,1
2.2,1
2.4,1
2.4,1
1.8,1
2,1
1.8,1
1.6,1
1.8,1
1.8,1
2.4,1
2.4,1
2.6,1
1.6,1
2,1
2.2,1
2.2,1
2.2,1
2.2,1
2.2,1
2.4,1
2,1
1.8,1
2.6,1
1.8,1
2,1
2.2,1
2,1
2,1
2,1
1.8,1
1.6,1
2,1
2,1
1.6,1
1.8,1
1.8,1
1.4,1
1.8,1
2,1
1.6,1
1.8,1
2,1
2.4,1
1.6,1
2.6,1
2,1
2.6,1
2,1
2.6,1
2,1
1.8,1
2.2,1
2.2,1
1.8,1
2.2,1
2.2,1
2.2,1
1.8,1
1.8,1
2.2,1
2,1
2,1
2.2,1
2,1
1.6,1
2.2,1
1.8,1
2,1
2.2,1
2.2,1
2.2,1
2,1
2.2,1
1.8,1
1.4,1
2,1
2.2,1
1.6,1
1.4,1
1.8,1
2,1
2.4,1
2,1
2.2,1
2.2,1
2,1
2.2,1
1.6,1
2,1
2.4,1
2.2,1
2.6,1
2.4,1
2,1
1.8,1
2,1
2,1
1.4,1
2,1
1.8,1
2,1
1.4,1
1.8,1
1.8,1
1.8,1
2.2,1
2.2,1
2.2,1
1.8,1
1.8,1
1.8,1
2.4,1
2,1
2.2,1
2.2,1
2.2,1
1.8,1
1.8,1
2.4,1
2.2,1
2,1
1.6,1
1.8,1
1.6,1
2,1
2,1
2,1
1.8,1
2,1
2,1
1.4,1
2.2,1
2.2,1
1.6,1
1.8,1
1.8,1
2.2,1
1.8,1
1.6,1
2,1
1.8,1
2,1
2.4,1
1.8,1
1.8,1
1.8,1
1.6,1
2.2,1
2,1
2,1
2.2,1
2,1
2.2,1
2.8,1
1.8,1
2,1
2,1
1.6,1
1.8,1
2.4,1
1.8,1
1.6,1
2.2,1
2,1
2.8,1
1.6,1
1.8,1
1.2,1
2,1
1.6,1
1.8,1
2,1
2.2,1
2,1
2,1
2.2,1
1.8,1
2,1
1.8,1
2,1
1.6,1
2,1
2,1
1.8,1
2.4,1
2,1
2.2,1
2.4,1
2.4,1
2.2,1
1.6,1
1.8,1
2,1
1.4,1
2.2,1
1.6,1
2,1
2.4,1
1.6,1
2.2,1
2.4,1
1.6,1
2,1
1.8,1
2,1
2.2,1
2.2,1
1.8,1
1.8,1
1.4,1
1.6,1
1.4,1
2,1
1.8,1
2.2,1
1.6,1
2.6,1
2,1
2.2,1
1.8,1
1.4,1
2.2,1
1.6,1
1.8,1
1.6,1
1.4,1
2,1
2,1
1.8,1
2.2,1
1.2,1
1.8,1
1.6,1
1.6,1
2,1
2.2,1
1.8,1
2.2,1
2,1
2.4,1
2,1
2.2,1
2,1
2.2,1
2,1
2.4,1
2.2,1
1.6,1
1.8,1
2.2,1
2.2,1
2,1
2,1
2,1
2,1
2.4,1
2,1
2.2,1
1.8,1
2.4,1
2,1
2.2,1
1.8,1
2.6,1
2,1
1.6,1
2,1
2.2,1
2,1
2.2,1
2,1
1.6,1
2.2,1
2.4,1
1.6,1
1.6,1
1.6,1
1.8,1
2.2,1
2,1
2.2,1
1.6,1
1.8,1
2.2,1
2.2,1
2.2,1
1.8,1
2.2,1
1.6,1
1.8,1
2,1
2,1
1.8,1
1.8,1
1.6,1
1.6,1
1.4,1
1.8,1
2,1
1.8,1
2.4,1
2,1
2,1
2.4,1
2.4,1
2.2,1
1.8,1
2.2,1
1.8,1
2,1
2.2,1
1.8,1
2.2,1
2.2,1
2.2,1
1.8,1
2.4,1
2,1
2,1
2,1
1.8,1
2,1
2.2,1
1.6,1
1.8,1
1.8,1
2,1
2,1
1.8,1
2,1
2,1
2.2,1
2,1
1.6,1
2.2,1
1.8,1
2,1
2.2,1
1.6,1
1.4,1
1.8,1
1.2,1
1.8,1
1.6,1
2.2,1
2.2,1
1.8,1
1.6,1
2.4,1
2,1
2.4,1
1.6,1
1.6,1
1.6,1
1.6,1
1.6,1
1.8,1
1.6,1
2,1
1.8,1
2,1
1.6,1
1.8,1
2,1
1.6,1
2.2,1
2.4,1
2.4,1
2.2,1
2,1
2.2,1
2.2,1
2.2,1
2,1
2.2,1
2.2,1
2.2,1
2,1
1.8,1
2.2,1
1.8,1
1.8,1
2.2,1
2.2,1
1.8,1
2,1
1.8,1
2,1
1.8,1
2,1
2,1
1.8,1
2.2,1
2,1
2,1
1.8,1
1.8,1
2.2,1
2.4,1
2.2,1
2,1
2,1
1.8,1
1.4,1
1.6,1
1.4,1
1.6,1
2.2,1
1.8,1
2.2,1
1.8,1
2.2,1
2,1
1.6,1
1.8,1
1.6,1
1.6,1
2.2,1
1.4,1
1.6,1
1.6,1
1.6,1
1.8,1
1.6,1
1.6,1
1.6,1
2,1
1.8,1
2.4,1
2.2,1
2.4,1
2.4,1
2,1
2,1
1.8,1
2.4,1
2,1
2,1
2,1
2,1
2,1
1.8,1
2,1
2.2,1
2,1
2.4,1
2.2,1
2,1
2,1
1.4,1
1.8,1
2.2,1
1.6,1
2,1
1.6,1
2,1
1.8,1
2.2,1
1.8,1
2.2,1
2.6,1
2.2,1
2.6,1
2.4,1
2,1
2.2,1
1.8,1
2,1
1.8,1
1.6,1
2.2,1
2,1
2.2,1
1.8,1
2.4,1
2.2,1
2.4,1
1.8,1
1.6,1
1.6,1
2.4,1
2,1
1.8,1
1.8,1
1.8,1
2,1
2.2,1
1.6,1
2,1
1.6,1
1.6,1
1.4,1
2.4,1
1.8,1
2.2,1
2,1
1.8,1
2.2,1
2.2,1
2,1
2,1
2.2,1
2,1
1.8,1
1.8,1
1.8,1
2,1
2.2,1
2.2,1
1.8,1
2,1
2.2,1
2.4,1
2.6,1
2,1
2.2,1
2.8,1
1.8,1
2,1
1.6,1
2,1
2.4,1
2,1
2.2,1
2.2,1
1.8,1
2,1
1.6,1
1.8,1
2,1
2.2,1
2.2,1
2,1
2,1
1.2,1
1.2,1
2,1
1.8,1
2,1
2.2,1
2,1
1.6,1
1.6,1
1.8,1
2.4,1
2.4,1
1.8,1
1.4,1
1.8,1
2,1
1.8,1
1.8,1
1.8,1
1.6,1
2,1
1.6,1
2.4,1
2,1
2.6,1
1.8,1
1.8,1
1.8,1
1.8,1
1.8,1
1.8,1
1.6,1
2,1
2.2,1
1.8,1
1.8,1
1.6,1
1.8,1
2.2,1
2,1
1.6,1
2.2,1
1.8,1
2,1
2,1
1.8,1
2,1
2,1
2,1
1.8,1
1.6,1
2.4,1
1.4,1
2.4,1
1.8,1
1.8,1
2.4,1
2,1
1.6,1
1.8,1
2.2,1
2,1
2,1
2,1
1.6,1
1.6,1
2,1
2.2,1
1.4,1
1.8,1
1.6,1
1.6,1
1.6,1
2,1
1.8,1
1.8,1
1.8,1
1.8,1
1.8,1
2,1
1.8,1
1.6,1
2,1
2.2,1
1.4,1
1.6,1
1.8,1
2,1
2.4,1
1.8,1
1.8,1
2,1
1.4,1
2.2,1
1.8,1
1.6,1
1.8,1
1.8,1
2,1
1.6,1
2,1
2.2,1
2,1
2.2,1
2.4,1
2.2,1
2.2,1
1.8,1
2,1
2.2,1
1.8,1
1.8,1
2,1
2.4,1
2,1
1.6,1
1.8,1
1.4,1
2,1
1.8,1
1.8,1
2,1
1.6,1
2,1
2.2,1
2.6,1
2.4,1
1.8,1
1.8,1
1.8,1
1.8,1
1.4,1
1.6,1
2,1
2,1
2.2,1
1.8,1
2.2,1
2.2,1
2,1
2,1
1.6,1
1.8,1
1.6,1
2,1
1.6,1
2.2,1
2,1
1.6,1
1.4,1
2,1
1.6,1
2,1
2.2,1
2,1
2.2,1
2.2,1
2,1
1.8,1
1.8,1
2,1
2.2,1
2.4,1
2.6,1
2.2,1
2,1
2.2,1
1.8,1
1.8,1
2,1
2.2,1
2,1
2,1
1.8,1
2,1
2,1
2.4,1
2,1
1.8,1
1.8,1
2.2,1
2.4,1
1.6,1
2.2,1
2,1
2,1
2.2,1
2.2,1
2,1
2.4,1
2.4,1
2.4,1
2,1
2,1
1.6,1
1.4,1
1.6,1
2.6,1
1.8,1
1.8,1
1.4,1
1.6,1
1.4,1
1.8,1
1.8,1
1.8,1
1.8,1
2,1
2.2,1
1.6,1
2,1
1.6,1
1.6,1
1.8,1
1.8,1
1.8,1
2.2,1
2,1
2.2,1
2.4,1
2,1
2.2,1
2.2,1
2,1
1.8,1
1.8,1
1.8,1
2,1
1.8,1
2,1
1.6,1
1.8,1
1.6,1
2,1
2.4,1
2,1
2.4,1
2,1
1.8,1
2,1
2.6,1
1.6,1
1.8,1
1.8,1
2.2,1
2,1
1.8,1
2,1
1.8,1
2,1
1.8,1
2,1
1.6,1
1.8,1
2,1
2,1
2.4,1
1.8,1
1.8,1
1.6,1
1.6,1
1.8,1
1.6,1
1.4,1
1.8,1
1.8,1
1.4,1
2,1
1.8,1
1.8,1
1.4,1
2,1
1.4,1
1.4,1
1.4,1
2,1
1.8,1
1.4,1
1.6,1
1.6,1
2.2,1
1.6,1
2,1
2,1
2,1
1.8,1
2,1
2.2,1
2.4,1
1.6,1
2.2,1
2.2,1
2,1
2.2,1
2,1
2.2,1
2,1
2,1
2,1
2,1
2.2,1
1.8,1
2.2,1
1.8,1
2.2,1
2,1
2,1
1.6,1
2.2,1
2.2,1
1.8,1
1.8,1
2,1
2,1
1.8,1
2.4,1
2.2,1
2.2,1
1.6,1
1.8,1
2.4,1
2,1
2.2,1
2,1
2.2,1
1.8,1
1.6,1
1.4,1
1.6,1
1.4,1
1.6,1
1.8,1
1.8,1
1.8,1
1.8,1
1.6,1
1.6,1
1.8,1
1.4,1
1.8,1
2,1
1.8,1
2,1
2,1
1.8,1
2,1
1.8,1
1.8,1
2,1
1.6,1
1.8,1
2.2,1
2,1
1.8,1
2.2,1
2.2,1
2,1
1.8,1
2.2,1
2,1
2.2,1
2.2,1
2.2,1
1.6,1
1.8,1
2,1
2.4,1
2.2,1
2.2,1
2.4,1
2,1
1.8,1
2.2,1
2,1
2.2,1
2.2,1
1.8,1
2,1
2,1
2,1
1.8,1
2.2,1
1.6,1
2.2,1
2.4,1
2.2,1
2,1
2,1
2.2,1
1.8,1
2,1
1.4,1
1.4,1
1.8,1
1.4,1
1.8,1
2,1
2.2,1
1.6,1
1.4,1
1.6,1
1.2,1
2,1
1.8,1
1.6,1
2,1
1.8,1
2,1
1.8,1
2,1
2.4,1
2,1
2.2,1
2,1
2,1
2,1
2.2,1
2,1
2,1
2,1
2.2,1
2,1
2,1
1.8,1
2.2,1
2,1
1.4,1
1.8,1
1.8,1
2,1
1.8,1
1.8,1
2.2,1
2.2,1
1.8,1
2,1
2,1
1.8,1
2.2,1
1.8,1
2,1
2,1
2,1
1.8,1
1.8,1
1.4,1
2,1
2,1
2,1
1.8,1
1.4,1
1.6,1
2,1
1.8,1
2.2,1
1.4,1
1.6,1
1.8,1
1.4,1
2,1
1.6,1
2,1
1.8,1
1.8,1
1.4,1
2.2,1
1.8,1
2.2,1
1.6,1
2,1
2,1
2.2,1
1.8,1
1.8,1
1.8,1
2.6,1
2.4,1
2.4,1
2.4,1
2.2,1
2.8,1
2.2,1
1.8,1
2.6,1
2.2,1
2,1
1.8,1
2,1
2,1
1.6,1
2,1
2,1
2.4,1
1.6,1
2.2,1
1.6,1
2.2,1
2.2,1
1.8,1
1.8,1
1.8,1
1.6,1
2,1
2.2,1
2.2,1
1.8,1
1.6,1
2.4,1
1.6,1
2.2,1
1.8,1
1.8,1
2.2,1
2,1
1.4,1
1.6,1
2.2,1
2.2,1
2,1
1.6,1
1.4,1
2,1
1.8,1
1.8,1
2,1
1.2,1
2,1
1.4,1
1.6,1
1.2,1
1.4,1
1.6,1
1.8,1
2.2,1
2.2,1
1.8,1
2.4,1
2.2,1
2,1
2.4,1
1.8,1
1.4,1
2.4,1
2,1
2,1
